pivot_sample,confirmation_sample,elapsed_seconds,timestampUs,x,y,angle,incoming_pixels,outgoing_pixels,incoming_speed,outgoing_speed,rejected_by
1492,1493,27.280975,1789749931847050,53.485565185546875,8.0272216796875,6.142001546502231,14.197786385687838,15.121468031029902,825.6447072393486,858.5401709549709,"outside_board,angle"
1493,1494,27.298565,1789749931864663,66.17585754394531,16.250072479248047,5.405359812675736,15.121468031029902,14.388911192940371,858.5401709549709,1020.7073272994518,"outside_board,angle"
1494,1495,27.312665,1789749931878760,77.4605941772461,25.177305221557617,2.927453410334201,14.388911192940371,13.764033245687564,1020.7073272994518,678.1648229053786,"outside_board,angle"
1495,1496,27.33298,1789749931899056,87.80504608154297,34.25700378417969,3.127653788102577,13.764033245687564,12.846311354556656,678.1648229053786,733.3206618653188,"outside_board,angle"
1496,1497,27.350476,1789749931916574,96.9830322265625,43.24545669555664,2.9461747176489355,12.846311354556656,12.908689078036497,733.3206618653188,963.1193820813621,"outside_board,angle"
1497,1498,27.363927,1789749931929977,105.72916412353516,52.7396354675293,6.22502004289179,12.908689078036497,13.107434314987938,963.1193820813621,755.1235346807199,"outside_board,angle"
1498,1499,27.381246,1789749931947335,113.51225280761719,63.2861213684082,6.1814042198574555,13.107434314987938,10.800185544850066,755.1235346807199,609.0444676507115,angle
1499,1500,27.39897,1789749931965068,118.95231628417969,72.61616516113281,33.181559416863315,10.800185544850066,6.002540699969098,609.0444676507115,442.9919335770552,angle
1500,1501,27.412547,1789749931978618,118.64482116699219,78.61082458496094,35.07977905933118,6.002540699969098,6.143215480243857,442.9919335770552,317.3476330325373,
1503,1504,27.463331,1789749932029430,104.53018188476562,95.06114196777344,5.913751757864352,8.311374456673247,8.844801419253182,612.8880212870178,474.4047103225264,"cooldown,angle"
1504,1505,27.481987,1789749932048074,99.5016860961914,102.33745574951172,5.5285959262652415,8.844801419253182,9.956354764792353,474.4047103225264,607.8360662266393,"cooldown,angle"
1505,1506,27.498365,1789749932064454,94.65669250488281,111.03544616699219,5.142121337219545,9.956354764792353,11.305177913550423,607.8360662266393,671.4484714349601,"cooldown,angle"
